 ,Greedy,Uniform,A*,Dijkstras
Traffic:,5,5,5,5
Traffic:,42,42,42,42
Traffic:,58,54,54,54
Traffic:,117,107,107,107
Traffic:,115,115,115,115
Traffic:,61,61,61,61
Traffic:,125,125,125,125
Traffic:,426,382,382,382
Traffic:,663,565,566,565
Traffic:,88,87,87,87
Traffic:,316,177,178,177
Traffic:,210,210,210,210
Traffic:,193,193,193,193
Traffic:,182,182,182,182
Traffic:,123,122,122,122
Traffic:,178,167,167,167
Traffic:,13,13,13,13
Traffic:,54,54,54,54
Traffic:,70,64,65,65
Traffic:,115,77,77,77
Traffic:,101,101,101,101
Traffic:,79,79,79,79
Traffic:,160,153,154,153
Traffic:,424,413,413,413
Traffic:,714,603,603,603
Traffic:,69,66,66,66
Traffic:,357,204,205,208
Traffic:,185,185,185,185
Traffic:,228,228,228,228
Traffic:,136,136,136,136
Traffic:,99,99,99,99
Traffic:,199,170,170,170
Traffic:,3,3,3,3
Traffic:,39,39,39,39
Traffic:,46,33,33,33
Traffic:,102,79,79,79
Traffic:,90,90,90,90
Traffic:,74,74,74,74
Traffic:,151,143,143,143
Traffic:,387,336,336,336
Traffic:,703,666,667,667
Traffic:,58,51,51,51
Traffic:,325,217,219,217
Traffic:,220,220,220,220
Traffic:,189,189,189,189
Traffic:,197,197,197,197
Traffic:,121,119,119,119
Traffic:,182,158,158,158
Traffic:,15,15,15,15
Traffic:,48,48,48,48
Traffic:,84,65,65,65
Traffic:,154,89,89,89
Traffic:,101,101,101,101
Traffic:,76,76,76,76
Traffic:,156,145,145,145
Traffic:,385,348,348,348
Traffic:,709,656,656,656
Traffic:,76,76,76,76
Traffic:,348,199,201,200
Traffic:,201,201,201,201
Traffic:,187,181,181,181
Traffic:,171,157,157,157
Traffic:,125,125,125,125
Traffic:,163,163,163,163
Traffic:,6,6,6,6
Traffic:,42,42,42,42
Traffic:,80,62,62,63
Traffic:,96,89,90,89
Traffic:,86,86,86,86
Traffic:,71,71,71,71
Traffic:,142,142,142,142
Traffic:,440,384,384,389
Traffic:,640,579,579,579
Traffic:,88,82,82,82
Traffic:,325,184,184,184
Traffic:,185,185,185,185
Traffic:,221,214,214,214
Traffic:,203,181,181,181
Traffic:,104,103,103,103
Traffic:,165,165,165,165
Traffic:,7,7,7,7
Traffic:,51,51,51,51
Traffic:,90,81,81,82
Traffic:,110,91,91,91
Traffic:,111,111,111,111
Traffic:,69,69,69,69
Traffic:,150,143,143,143
Traffic:,394,348,348,348
Traffic:,628,585,585,585
Traffic:,81,81,81,81
Traffic:,329,195,196,199
Traffic:,182,182,182,182
Traffic:,210,210,210,210
Traffic:,187,187,187,187
Traffic:,93,93,93,93
Traffic:,194,163,163,163
Traffic:,10,10,10,10
Traffic:,36,36,36,36
Traffic:,80,67,67,67
Traffic:,122,118,118,118
Traffic:,107,107,107,107
Traffic:,58,58,58,58
Traffic:,120,119,119,119
Traffic:,457,427,427,427
Traffic:,594,547,547,550
Traffic:,72,70,70,70
Traffic:,319,193,193,198
Traffic:,230,230,230,230
Traffic:,216,212,212,212
Traffic:,167,164,164,164
Traffic:,119,109,109,109
Traffic:,169,155,155,155
Traffic:,12,12,12,12
Traffic:,40,40,40,40
Traffic:,55,54,55,54
Traffic:,108,85,85,85
Traffic:,89,89,89,89
Traffic:,59,59,59,59
Traffic:,157,149,150,149
Traffic:,381,359,359,362
Traffic:,653,608,608,609
Traffic:,85,76,76,76
Traffic:,347,200,200,201
Traffic:,223,223,223,223
Traffic:,215,215,215,215
Traffic:,163,154,154,154
Traffic:,92,92,92,92
Traffic:,176,176,176,176
Traffic:,15,15,15,15
Traffic:,40,40,40,40
Traffic:,73,68,68,68
Traffic:,141,107,107,107
Traffic:,131,129,129,129
Traffic:,79,79,79,79
Traffic:,118,118,118,118
Traffic:,430,405,405,412
Traffic:,691,614,614,614
Traffic:,71,70,70,70
Traffic:,292,186,186,186
Traffic:,203,203,203,203
Traffic:,223,221,221,221
Traffic:,183,181,181,181
Traffic:,96,96,96,96
Traffic:,181,181,181,181
Traffic:,16,16,16,16
Traffic:,42,42,42,42
Traffic:,67,58,58,58
Traffic:,128,118,118,118
Traffic:,79,79,79,79
Traffic:,67,67,67,67
Traffic:,144,133,133,133
Traffic:,429,419,419,421
Traffic:,705,625,626,626
Traffic:,67,67,67,67
Traffic:,357,205,205,205
Traffic:,173,173,173,173
Traffic:,203,202,202,202
Traffic:,188,188,188,188
Traffic:,98,93,93,93
Traffic:,178,165,165,165
Traffic:,8,8,8,8
Traffic:,29,29,29,29
Traffic:,64,53,53,53
Traffic:,137,97,97,97
Traffic:,83,72,72,72
Traffic:,75,75,75,75
Traffic:,154,149,149,149
Traffic:,421,390,390,390
Traffic:,663,630,630,634
Traffic:,77,76,76,76
Traffic:,347,216,216,217
Traffic:,234,234,234,234
Traffic:,234,234,234,234
Traffic:,220,188,188,188
Traffic:,85,85,85,85
Traffic:,189,184,184,184
Traffic:,15,15,15,15
Traffic:,35,35,35,35
Traffic:,72,64,64,64
Traffic:,137,102,102,102
Traffic:,81,81,81,81
Traffic:,76,76,76,76
Traffic:,116,116,116,116
Traffic:,340,323,323,323
Traffic:,648,590,590,590
Traffic:,51,48,48,48
Traffic:,351,225,225,228
Traffic:,219,219,219,219
Traffic:,198,198,198,198
Traffic:,190,190,190,190
Traffic:,116,116,116,116
Traffic:,190,187,187,187
Traffic:,19,19,19,19
Traffic:,42,42,42,42
Traffic:,79,70,70,70
Traffic:,115,105,105,105
Traffic:,114,113,113,113
Traffic:,89,89,89,89
Traffic:,162,155,155,155
Traffic:,378,345,345,346
Traffic:,754,676,676,676
Traffic:,81,81,81,81
Traffic:,348,176,176,176
Traffic:,205,205,205,205
Traffic:,208,208,208,208
Traffic:,213,193,193,193
Traffic:,105,104,104,104
Traffic:,204,186,186,186
Traffic:,7,7,7,7
Traffic:,36,36,36,36
Traffic:,65,52,52,54
Traffic:,133,102,102,106
Traffic:,81,81,81,81
Traffic:,76,76,76,76
Traffic:,132,132,132,132
Traffic:,415,389,389,389
Traffic:,656,581,581,583
Traffic:,69,69,69,69
Traffic:,318,189,192,189
Traffic:,235,235,235,235
Traffic:,211,211,211,211
Traffic:,185,168,168,168
Traffic:,98,95,95,95
Traffic:,168,156,156,156
Traffic:,3,3,3,3
Traffic:,41,41,41,41
Traffic:,71,68,68,68
Traffic:,127,102,102,102
Traffic:,125,125,125,125
Traffic:,83,83,83,83
Traffic:,164,154,155,156
Traffic:,405,372,372,372
Traffic:,696,625,625,625
Traffic:,58,58,58,58
Traffic:,316,209,209,212
Traffic:,181,181,181,181
Traffic:,220,220,220,220
Traffic:,209,206,206,206
Traffic:,84,79,79,79
Traffic:,170,147,147,147
Traffic:,17,17,17,17
Traffic:,45,45,45,45
Traffic:,71,58,58,59
Traffic:,130,114,114,114
Traffic:,101,101,101,101
Traffic:,82,82,82,82
Traffic:,134,134,134,134
Traffic:,433,390,390,390
Traffic:,687,623,624,623
Traffic:,99,99,99,99
Traffic:,293,192,192,192
Traffic:,203,203,203,203
Traffic:,196,193,193,193
Traffic:,183,166,166,166
Traffic:,97,97,97,97
Traffic:,137,137,137,137
Traffic:,13,13,13,13
Traffic:,47,47,47,47
Traffic:,102,72,72,72
Traffic:,151,112,112,112
Traffic:,110,110,110,110
Traffic:,78,78,78,78
Traffic:,154,154,154,154
Traffic:,417,383,383,383
Traffic:,647,569,569,571
Traffic:,70,70,70,70
Traffic:,365,182,182,182
Traffic:,180,180,180,180
Traffic:,205,205,205,205
Traffic:,188,176,176,176
Traffic:,108,102,102,102
Traffic:,182,182,182,182
Traffic:,12,12,12,12
Traffic:,30,30,30,30
Traffic:,76,63,63,63
Traffic:,116,110,110,110
Traffic:,102,102,102,102
Traffic:,76,76,76,76
Traffic:,127,119,119,119
Traffic:,405,368,369,368
Traffic:,626,537,537,537
Traffic:,90,90,90,90
Traffic:,338,192,192,193
Traffic:,217,217,217,217
Traffic:,189,185,185,185
Traffic:,144,144,144,144
Traffic:,108,108,108,108
Traffic:,180,180,180,180
Traffic:,6,6,6,6
Traffic:,30,30,30,30
Traffic:,58,40,40,40
Traffic:,130,89,89,89
Traffic:,115,115,115,115
Traffic:,80,80,80,80
Traffic:,125,119,119,119
Traffic:,442,416,416,416
Traffic:,678,601,601,601
Traffic:,68,67,67,67
Traffic:,350,179,179,179
Traffic:,177,177,177,177
Traffic:,195,195,195,195
Traffic:,179,179,179,179
Traffic:,122,122,122,122
Traffic:,189,181,181,181
Traffic:,11,11,11,11
Traffic:,42,42,42,42
Traffic:,71,64,64,64
Traffic:,144,100,100,100
Traffic:,100,100,100,100
Traffic:,60,60,60,60
Traffic:,151,144,145,144
Traffic:,451,400,400,402
Traffic:,602,519,519,519
Traffic:,75,75,75,75
Traffic:,371,194,194,194
Traffic:,213,213,213,213
Traffic:,220,216,216,216
Traffic:,187,170,170,170
Traffic:,81,81,81,81
Traffic:,180,180,180,180
Traffic:,17,17,17,17
Traffic:,34,34,34,34
Traffic:,61,54,54,54
Traffic:,118,103,104,103
Traffic:,101,101,101,101
Traffic:,47,47,47,47
Traffic:,172,171,171,171
Traffic:,396,396,396,396
Traffic:,688,613,613,614
Traffic:,70,70,70,70
Traffic:,293,178,178,179
Traffic:,212,212,212,212
Traffic:,205,205,205,205
Traffic:,162,160,160,160
Traffic:,98,98,98,98
Traffic:,173,172,172,172
Traffic:,18,18,18,18
Traffic:,59,59,59,59
Traffic:,95,60,60,63
Traffic:,148,109,109,109
Traffic:,109,109,109,109
Traffic:,61,61,61,61
Traffic:,142,136,136,136
Traffic:,432,406,406,406
Traffic:,664,616,617,616
Traffic:,80,75,75,75
Traffic:,316,184,184,184
Traffic:,211,211,211,211
Traffic:,217,214,214,214
Traffic:,168,168,168,168
Traffic:,85,83,83,83
Traffic:,164,164,164,164
Traffic:,15,15,15,15
Traffic:,43,43,43,43
