 ,Greedy,WeightedA*,A*,Dijkstras, ,Greedy,WeightedA*,A*,Dijkstras
Time:,0.16324377059936523,0.19846463203430176,0.2824718952178955,0.2863607406616211,Traffic:,130,130,127,127
Time:,0.2976217269897461,0.4767622947692871,0.6733570098876953,0.6863436698913574,Traffic:,461,415,404,404
Time:,0.6578147411346436,1.0115821361541748,2.0937931537628174,2.2861485481262207,Traffic:,677,649,614,614
Time:,0.6791095733642578,1.0353951454162598,2.1438992023468018,2.3358876705169678,Traffic:,80,80,76,76
Time:,1.1981256008148193,1.5484142303466797,3.220078945159912,3.4596595764160156,Traffic:,355,238,211,211
Time:,1.2914106845855713,1.647911548614502,3.3208138942718506,3.559750556945801,Traffic:,218,218,218,218
Time:,1.341050624847412,1.6969237327575684,3.3804550170898438,3.6222126483917236,Traffic:,210,210,210,210
Time:,1.384730577468872,1.7561817169189453,3.4730608463287354,3.7172625064849854,Traffic:,175,157,157,156
Time:,1.4119725227355957,1.7829477787017822,3.519176721572876,3.769134521484375,Traffic:,100,100,93,93
Time:,1.4598946571350098,1.833613634109497,3.608341932296753,3.8617184162139893,Traffic:,182,182,158,158


Time:,0.002621173858642578,0.001447916030883789,0.001451730728149414,0.0013527870178222656,Traffic:,12,12,12,12
Time:,0.011536121368408203,0.009630918502807617,0.00947880744934082,0.009461641311645508,Traffic:,32,32,32,32
Time:,0.045617103576660156,0.05381512641906738,0.05678677558898926,0.05829262733459473,Traffic:,85,84,72,72
Time:,0.0793309211730957,0.10331916809082031,0.11398077011108398,0.11588168144226074,Traffic:,136,135,122,122
Time:,0.10530805587768555,0.12964296340942383,0.15218591690063477,0.15608477592468262,Traffic:,85,85,85,85
Time:,0.12557625770568848,0.15100574493408203,0.18233489990234375,0.1878049373626709,Traffic:,71,71,71,71
Time:,0.1653902530670166,0.19733953475952148,0.2727780342102051,0.2773571014404297,Traffic:,148,148,140,140
Time:,0.29950428009033203,0.48720455169677734,0.6500213146209717,0.6757142543792725,Traffic:,439,427,422,422
Time:,0.7614731788635254,1.1553373336791992,2.442500114440918,2.4468605518341064,Traffic:,639,624,597,596
Time:,0.7813150882720947,1.1761572360992432,2.4764392375946045,2.4848616123199463,Traffic:,74,74,74,74
Time:,1.3828380107879639,1.8305041790008545,3.7034032344818115,3.723233699798584,Traffic:,391,271,206,207
Time:,1.4813199043273926,1.9241549968719482,3.8027403354644775,3.8255884647369385,Traffic:,193,193,193,193
Time:,1.5299839973449707,1.9720470905303955,3.8665032386779785,3.8861284255981445,Traffic:,203,203,203,203
Time:,1.5743248462677002,2.0326988697052,3.959679365158081,3.980698347091675,Traffic:,182,167,167,167
Time:,1.6012189388275146,2.0597009658813477,4.00959038734436,4.03716516494751,Traffic:,79,79,79,79
Time:,1.6478619575500488,2.12345290184021,4.097310304641724,4.127082347869873,Traffic:,187,187,160,160


Time:,0.002553224563598633,0.0019178390502929688,0.0014269351959228516,0.0014178752899169922,Traffic:,13,13,13,13
Time:,0.010665178298950195,0.009519100189208984,0.009527206420898438,0.009261846542358398,Traffic:,53,53,53,53
Time:,0.04481625556945801,0.04471898078918457,0.05717015266418457,0.05718278884887695,Traffic:,65,65,65,65
