 ,Greedy,Weighted-A*,A*,Dijkstras, ,Greedy,Weighted-A*,A*,Dijkstras
Time:,0.1307051181793213,0.14207196235656738,0.17588448524475098,0.18034696578979492,Traffic:,107,107,107,107
Time:,0.15928101539611816,0.16628408432006836,0.20900273323059082,0.21537184715270996,Traffic:,78,78,78,78
Time:,0.20266103744506836,0.20467209815979004,0.30039262771606445,0.30339574813842773,Traffic:,123,123,123,123
Time:,0.38953399658203125,0.589832067489624,0.7188136577606201,0.7455987930297852,Traffic:,451,414,405,406
Time:,0.7818121910095215,1.0539569854736328,2.7069716453552246,2.42572283744812,Traffic:,700,649,632,632
Time:,0.8017041683197021,1.0756449699401855,2.749600410461426,2.469193696975708,Traffic:,68,68,67,67
Time:,1.3373351097106934,1.7303030490875244,4.229076385498047,4.233203649520874,Traffic:,330,224,209,211
Time:,1.4470710754394531,1.8036749362945557,4.3266282081604,4.325498580932617,Traffic:,195,195,195,195
Time:,1.5069670677185059,1.8590469360351562,4.394116163253784,4.381014823913574,Traffic:,184,184,184,184
Time:,1.5484471321105957,1.9056611061096191,4.50305700302124,4.517845869064331,Traffic:,164,164,164,164
Time:,1.583977222442627,1.9418072700500488,4.575599908828735,4.606510877609253,Traffic:,91,91,86,86
Time:,1.643928050994873,2.065842390060425,4.7173638343811035,4.708363771438599,Traffic:,151,151,151,151
Time:,0.0017461776733398438,0.0017049312591552734,0.0018520355224609375,0.0013470649719238281,Traffic:,12,12,12,12
Time:,0.011644124984741211,0.009929895401000977,0.009777069091796875,0.008543014526367188,Traffic:,38,38,38,38
Time:,0.037618160247802734,0.04820084571838379,0.05100107192993164,0.050837039947509766,Traffic:,84,81,77,77
Time:,0.06790900230407715,0.1031181812286377,0.10484027862548828,0.12791728973388672,Traffic:,125,120,120,120
Time:,0.09723520278930664,0.14091920852661133,0.16054964065551758,0.17221951484680176,Traffic:,104,104,104,104
Time:,0.11773419380187988,0.15916037559509277,0.18480777740478516,0.1994163990020752,Traffic:,69,69,69,69
Time:,0.16389703750610352,0.195845365524292,0.25223851203918457,0.2779052257537842,Traffic:,108,108,107,107
Time:,0.29236316680908203,0.4600374698638916,0.6965124607086182,0.6254022121429443,Traffic:,433,391,388,388
