 ,Greedy,Uniform,A*,Dijkstras, ,Greedy,Uniform,A*,Dijkstras
Time:,0.684943675994873,2.4557530879974365,2.465649366378784,2.470968246459961,Traffic:,71,65,65,65
Time:,1.1941967010498047,3.6340432167053223,3.533595323562622,3.561065435409546,Traffic:,337,198,199,198
Time:,1.2945826053619385,3.7587521076202393,3.638063430786133,3.6697826385498047,Traffic:,243,243,243,243
Time:,1.3471636772155762,3.826462984085083,3.7019102573394775,3.738368511199951,Traffic:,215,215,215,215
Time:,1.3955445289611816,3.9302010536193848,3.7990782260894775,3.84097957611084,Traffic:,181,157,157,157
Time:,1.4221553802490234,3.9841513633728027,3.85092830657959,3.9049437046051025,Traffic:,89,89,89,89
Time:,1.4712581634521484,4.092794179916382,3.951266288757324,4.017523527145386,Traffic:,189,186,186,186


Time:,0.0016634464263916016,0.0015790462493896484,0.0015981197357177734,0.0014078617095947266,Traffic:,14,14,14,14
Time:,0.010474443435668945,0.010299921035766602,0.009264230728149414,0.009231090545654297,Traffic:,35,35,35,35
Time:,0.03969836235046387,0.06233978271484375,0.05904698371887207,0.05847907066345215,Traffic:,77,66,66,66
Time:,0.07379555702209473,0.12120652198791504,0.12081193923950195,0.11885595321655273,Traffic:,120,94,94,94
Time:,0.1051015853881836,0.18390250205993652,0.17946696281433105,0.17694783210754395,Traffic:,107,103,103,103
Time:,0.1244807243347168,0.2249612808227539,0.22211313247680664,0.21630048751831055,Traffic:,73,73,73,73
Time:,0.1632857322692871,0.30458831787109375,0.29517292976379395,0.2960975170135498,Traffic:,118,115,115,115
Time:,0.2983565330505371,0.6795153617858887,0.6732947826385498,0.7459554672241211,Traffic:,468,433,433,435
Time:,0.6535325050354004,2.2517614364624023,2.159168004989624,2.393752336502075,Traffic:,663,584,584,584
Time:,0.6771254539489746,2.2892215251922607,2.194124698638916,2.4293336868286133,Traffic:,73,71,71,71
Time:,1.1994984149932861,3.352586269378662,3.1986355781555176,3.47501277923584,Traffic:,363,188,188,188
Time:,1.2924084663391113,3.4513461589813232,3.301051616668701,3.5749588012695312,Traffic:,184,184,184,184
Time:,1.3391144275665283,3.514065980911255,3.3618273735046387,3.6375958919525146,Traffic:,188,186,186,186
Time:,1.3816373348236084,3.637787103652954,3.45434832572937,3.730468988418579,Traffic:,200,192,192,192
Time:,1.4078142642974854,3.701568365097046,3.51007342338562,3.79179310798645,Traffic:,93,93,93,93
Time:,1.4564180374145508,3.8019204139709473,3.6043951511383057,3.8903090953826904,Traffic:,213,195,195,195


Time:,0.0014929771423339844,0.0016989707946777344,0.0014438629150390625,0.0013661384582519531,Traffic:,7,7,7,7
Time:,0.00941610336303711,0.009341716766357422,0.008556842803955078,0.008571863174438477,Traffic:,51,51,51,51
Time:,0.07741713523864746,0.05959057807922363,0.05724382400512695,0.054991960525512695,Traffic:,60,58,58,60
